entity_h3_id,,,,,,,,,,,,,,,,DN0000,DN0001,DN1000,DN1100,4020,4050,DN1140,4070,4080,DN1200,2200,DN1300,6000,6100,6200,6210,DN1400,DN1410,7000,7020,7060,7070,DN1420,7100,DN1500,1270,1600,DN1510,2300,2340,DN1530,1250,1360,DN1600,6510,6520,6530,6540,DN2000,DN2020,DN2200,1220,1330,1390,6620,DN2210,1240,DN2220,1460,1470,DN2230,1020,DN2300,1230,1280,1300,1340,DN2310,1290,1350,1430,DN2320,1310,1320,DN2400,4220,4530,4540,4550,DN2410,4230,4290,6600,DN2420,4260,4400,DN2500,4110,4210,4240,4300,4350,4500,4510,4520,DN2600,1380,4100,4270
entity_h3_long_desc,,,,,,,,,,,,,,,,S+B Group,Continuing Operations,Production,DEW,4020 - DEW Härterei Technik GmbH (DE),4050 - dhi Rohstoffmanagement GmbH (DE),DEW 4000,4070 - DEW Speciality Steel GmbH & Co. KG (DE),4080 - DEW Sales GmbH & Co. KG (DE),Swiss Steel,2200 - Swiss Steel AG (CH),Ugitech,6000 - Ugitech S.A. (FR),6100 - Sprint Metal Edelstahlziehereien GmbH (DE),6200 - Ugitech Italia S.r.l (IT),6210 - Ugitech TFA S.r.l. (IT),Finkl Steel,Finkl,7000 - Finkl Steel - Chicago (US),7020 - Finkl Steel - Houston| LLC (US),7060 - Finkl De Mexico S de R.L. de C.V. (MX),7070 - Composite Forgings LLC (US),Sorel,7100 - Finkl Steel - Sorel (CA),Steeltec,1270 - Steeltec Celik A.S. (TR),1600 - Steeltec GmbH (DE),Steeltec TK,2300 - Steeltec AG (CH),2340 - Ugitech Suisse S.A. (CH),Scandinavia,1250 - Steeltec A/S (DK),1360 - Steeltec Boxholm AB (SE),Ascometal,6510 - Ascometal Hagondange S.A.S. (FR),6520 - Ascometal Les Dunes S.A.S. (FR),6530 - Ascometal Custines - Le Marais S.A.S. (FR),6540 - Ascometal Fos-sur-Mer S.A.S. (FR),Sales & Services,Sales & Services International,Western Europe,1220 - S+B Iberica S.A. (ES),1330 - S+B UK Ltd. (UK),1390 - S+B Portugal S.A. (PT),6620 - Ascometal Iberica S.L. (ES),Sales & Services France,1240 - S+B France S.A.S. (FR),S&S Italy,1460 - S+B Italia S.r.l. (IT),1470 - S+B Acciai Speciali S.r.l. (IT),Sales & Services Germany,1020 - S+B Deutschland GmbH (DE),Central and Eastern Europe,1230 - S+B Polska Sp.z o.o. (PL),1280 - S+B Romania SRL (RO),1300 - S+B Magyarország Kft. Budapest (HU),1340 - S+B Oy (FI),S&S Baltic,1290 - S+B Baltic OÜ (EE),1350 - S+B Baltic UAB (LT),1430 - S+B Baltic SIA (LV),S&S Czeck & Slovakia,1310 - S+B s.r.o. (CZ),1320 - S+B Slovakia s.r.o. (SK),Americas,4220 - S+B do Brasil Indústria e Comércio de Acos Ltda. (BR),4530 - S+B Chile SpA (CL),4540 - S+B Argentina SAU (AR),4550 S+B Colombia S.A.S. (CO),S&S North America,4230 - S+B Canada Inc. (CA),4290 - S+B USA Inc. (US),6600 - Ascometal North America Inc. (US),S&S Mexico,4260 - S+B Mexico S.A. de C.V. (MX),4400 - Alta Tecnologia en Tratamientos S.A. de C.V. (MX),Asia - Pacific,4110 - S+B India Pvt. Ltd. (IN),4210 - S+B Australia Pty. Ltd. (AU),4240 - S+B Singapore Pte. Ltd. (SG),4300 - S-B Hong Kong Co. Ltd. (HK),4350 - Shanghai Xinzhen Precision Metalwork Co. Ltd.(CN),4500 - Schmolz Bickenbach Japan Co. Ltd. (JP),4510 - Schmolz-Bickenbach (Thailand) Ltd. (TH),4520 - Schmolz+Bickenbach Taiwan Ltd. (TW),Rest of the world,1380 - S+B Russia OOO (RU),4100 - S+B Middle East FZCO (AE),4270 - S+B South Africa (Pty.) Ltd. (ZA)
31101020,Gross Sales - Fixed price,N,2,4,AE,United Arab Emirates,N,2,3,P3104,TS bars rolled,N,2,323,True,-348661.3263928,-348661.3263928,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-348661.3263928,-348661.3263928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-348661.3263928,,-697322.6527856,
31101020,Gross Sales - Fixed price,N,2,4,AE,United Arab Emirates,N,2,3,P3110,TS sheets/ plates rolled,N,2,343,True,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AE,United Arab Emirates,N,2,3,P3111,TS blocks forged and processed,N,2,348,True,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,PTOT,Total,Y,5,0,True,-5276286.0904916,-5276286.0904916,-325042.16,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-325042.16,,-975126.48,,,-4951243.9304916,-4951243.9304916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4951243.9304916,,-9902487.8609832,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,PALL,All Products,Y,4,1,True,-5276286.0904916,-5276286.0904916,-325042.16,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-325042.16,,-975126.48,,,-4951243.9304916,-4951243.9304916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4951243.9304916,,-9902487.8609832,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,PENGSTE,Engineering Steel,Y,3,2,True,-893813.2563872,-893813.2563872,-325042.16,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-325042.16,,-975126.48,,,-568771.0963871999,-568771.0963871999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-568771.0963871999,,-1137542.1927743999,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,PASTE,Alloyed steel,Y,2,3,True,-890312.8188324,-890312.8188324,-325042.16,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-325042.16,,-975126.48,,,-565270.6588324,-565270.6588324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-565270.6588324,,-1130541.3176648,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,P4104,AS bars rolled,N,1,24,True,-890312.8188324,-890312.8188324,-325042.16,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-325042.16,,-975126.48,,,-565270.6588324,-565270.6588324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-565270.6588324,,-1130541.3176648,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,PUSTE,Unalloyed steel,Y,2,118,True,-3500.4375548,-3500.4375548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3500.4375548,-3500.4375548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3500.4375548,,-7000.8751096,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,P1106,US bright bars,N,1,149,True,-3500.4375548,-3500.4375548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3500.4375548,-3500.4375548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3500.4375548,,-7000.8751096,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,PSTASTE,Stainless Steel,Y,3,232,True,-1204726.4658084,-1204726.4658084,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1204726.4658084,-1204726.4658084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1204726.4658084,,-2409452.9316168,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,P5104,SS bars rolled,N,2,253,True,-65490.3862984,-65490.3862984,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65490.3862984,-65490.3862984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65490.3862984,,-130980.7725968,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,P5106,SS bright bars,N,2,263,True,-1876747.1433928,-1876747.1433928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1876747.1433928,-1876747.1433928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1876747.1433928,,-3753494.2867856,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,P5107,SS bright wire,N,2,268,True,-467215.4019256,-467215.4019256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-467215.4019256,-467215.4019256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-467215.4019256,,-934430.8038512,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,PTOOSTE,Tool Steel,Y,3,302,True,-3177746.368296,-3177746.368296,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3177746.368296,-3177746.368296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3177746.368296,,-6355492.736592,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,P3103,TS bars forged,N,2,318,True,-1472288.0360048,-1472288.0360048,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1472288.0360048,-1472288.0360048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1472288.0360048,,-2944576.0720096,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,P3104,TS bars rolled,N,2,323,True,-417588.898612,-417588.898612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-417588.898612,-417588.898612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-417588.898612,,-835177.797224,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,P3110,TS sheets/ plates rolled,N,2,343,True,-4154004.8506064,-4154004.8506064,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4154004.8506064,-4154004.8506064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4154004.8506064,,-8308009.7012128,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,AU,Australia,N,2,8,P3111,TS blocks forged and processed,N,2,348,True,-311610.9513688,-311610.9513688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-311610.9513688,-311610.9513688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-311610.9513688,,-623221.9027376,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,PTOT,Total,Y,5,0,True,-92583503.8033036,-92583503.8033036,-7358881.3439372,-942617.0399999999,,,-942617.0399999999,-1885234.0799999998,,,,,,,,,,,,,,,,,-5876386.903937199,,-290696.28,-5779488.143937199,-11558976.287874399,,,,,-539877.4000000001,2637302.16,,-4256934.36,,-85224622.4593664,-85224622.4593664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85224622.4593664,,,,-144596636.6640488,-25852608.254684,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,PALL,All Products,Y,4,1,True,-92583503.8033036,-92583503.8033036,-7358881.3439372,-942617.0399999999,,,-942617.0399999999,-1885234.0799999998,,,,,,,,,,,,,,,,,-5876386.903937199,,-290696.28,-5779488.143937199,-11558976.287874399,,,,,-539877.4000000001,2637302.16,,-4256934.36,,-85224622.4593664,-85224622.4593664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85224622.4593664,,,,-144596636.6640488,-25852608.254684,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,PENGSTE,Engineering Steel,Y,3,2,True,-6492894.041556,-6492894.041556,-6418794.223937199,-2529.92,,,-2529.92,-5059.84,,,,,,,,,,,,,,,,,-5876386.903937199,,-290696.28,-5779488.143937199,-11558976.287874399,,,,,-539877.4000000001,2637302.16,,-4256934.36,,-74099.8176188,-74099.8176188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74099.8176188,,,,-148199.6352376,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,PASTE,Alloyed steel,Y,2,3,True,-616200.9763828001,-616200.9763828001,-542407.3200000002,-2529.92,,,-2529.92,-5059.84,,,,,,,,,,,,,,,,,,,,,,,,,,-539877.4000000001,2637302.16,,-4256934.36,,-73793.6563828,-73793.6563828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73793.6563828,,,,-147587.3127656,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P4104,AS bars rolled,N,1,24,True,-613671.0563828001,-613671.0563828001,-539877.4000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-539877.4000000001,2637302.16,,-4256934.36,,-73793.6563828,-73793.6563828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73793.6563828,,,,-147587.3127656,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P4106,AS bright bars,N,1,34,True,-2529.92,-2529.92,-2529.92,-2529.92,,,-2529.92,-5059.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,PFSTE,Free cutting steel,Y,2,73,True,-5852639.863937199,-5852639.863937199,-5852639.863937199,,,,,,,,,,,,,,,,,,,,,,-5852639.863937199,,-219455.16,-5779488.143937199,-11558976.287874399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P2106,FS bright bars,N,1,94,True,-95647.0714316,-95647.0714316,-95647.0714316,,,,,,,,,,,,,,,,,,,,,,-95647.0714316,,-219455.16,-22495.3514316,-44990.7028632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P2112,FS ETG,N,1,104,True,-5756992.7925056,-5756992.7925056,-5756992.7925056,,,,,,,,,,,,,,,,,,,,,,-5756992.7925056,,,-5756992.7925056,-11513985.5850112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,PUSTE,Unalloyed steel,Y,2,118,True,-24053.201236,-24053.201236,-23747.04,,,,,,,,,,,,,,,,,,,,,,-23747.04,,-71241.12,,,,,,,,,,,,-306.161236,-306.161236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-306.161236,,,,-612.322472,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P1104,US bars rolled,N,1,139,True,-306.161236,-306.161236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-306.161236,-306.161236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-306.161236,,,,-612.322472,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P1106,US bright bars,N,1,149,True,-23747.04,-23747.04,-23747.04,,,,,,,,,,,,,,,,,,,,,,-23747.04,,-71241.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,PSTASTE,Stainless Steel,Y,3,232,True,-20657855.6506888,-20657855.6506888,-854913.04,-854913.04,,,-854913.04,-1709826.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19802942.6106888,-19802942.6106888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19802942.6106888,,,,-13753276.9666936,-25852608.254684,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P5104,SS bars rolled,N,2,253,True,-563078.4,-563078.4,-563078.4,-563078.4,,,-563078.4,-1126156.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P5106,SS bright bars,N,2,263,True,-27069950.5788152,-27069950.5788152,-1146747.68,-1146747.68,,,-1146747.68,-2293495.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25923202.8988152,-25923202.8988152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25923202.8988152,,,,-141189.2882624,-51705216.509368,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P5107,SS bright wire,N,2,268,True,-13682682.3225624,-13682682.3225624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13682682.3225624,-13682682.3225624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13682682.3225624,,,,-27365364.6451248,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,PTOOSTE,Tool Steel,Y,3,302,True,-65432754.111058794,-65432754.111058794,-85174.08,-85174.08,,,-85174.08,-170348.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65347580.031058796,-65347580.031058796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65347580.031058796,,,,-130695160.06211759,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P3103,TS bars forged,N,2,318,True,-1884332.8818944,-1884332.8818944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1884332.8818944,-1884332.8818944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1884332.8818944,,,,-3768665.7637888,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P3104,TS bars rolled,N,2,323,True,-8676017.0688944,-8676017.0688944,-88911.36,-88911.36,,,-88911.36,-177822.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8587105.7088944,-8587105.7088944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8587105.7088944,,,,-17174211.4177888,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P3110,TS sheets/ plates rolled,N,2,343,True,-63973646.8725008,-63973646.8725008,-81436.8,-81436.8,,,-81436.8,-162873.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63892210.0725008,-63892210.0725008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63892210.0725008,,,,-127784420.1450016,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,CN,China,N,2,13,P3111,TS blocks forged and processed,N,2,348,True,-56331511.398828,-56331511.398828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56331511.398828,-56331511.398828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56331511.398828,,,,-112663022.797656,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,EG,Egypt,N,2,18,PTOT,Total,Y,5,0,True,-153681.12,-153681.12,-153681.12,-153681.12,,,-153681.12,-307362.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,EG,Egypt,N,2,18,PALL,All Products,Y,4,1,True,-153681.12,-153681.12,-153681.12,-153681.12,,,-153681.12,-307362.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,EG,Egypt,N,2,18,PSTASTE,Stainless Steel,Y,3,232,True,-153681.12,-153681.12,-153681.12,-153681.12,,,-153681.12,-307362.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,EG,Egypt,N,2,18,P5104,SS bars rolled,N,2,253,True,-307362.24,-307362.24,-307362.24,-307362.24,,,-307362.24,-614724.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,HK,Honk-Kong,N,2,23,PTOT,Total,Y,5,0,True,-1218174.1320568,-1218174.1320568,-1218174.1320568,-658059.2,,,-658059.2,-1316118.4,,,,,,,,,,,,,,,,,-560114.9320568,,,-317845.7560784,-635691.5121568,,-242269.1759784,,-484538.3519568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,HK,Honk-Kong,N,2,23,PALL,All Products,Y,4,1,True,-1218174.1320568,-1218174.1320568,-1218174.1320568,-658059.2,,,-658059.2,-1316118.4,,,,,,,,,,,,,,,,,-560114.9320568,,,-317845.7560784,-635691.5121568,,-242269.1759784,,-484538.3519568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,HK,Honk-Kong,N,2,23,PENGSTE,Engineering Steel,Y,3,2,True,-1218174.1320568,-1218174.1320568,-1218174.1320568,-658059.2,,,-658059.2,-1316118.4,,,,,,,,,,,,,,,,,-560114.9320568,,,-317845.7560784,-635691.5121568,,-242269.1759784,,-484538.3519568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,HK,Honk-Kong,N,2,23,PASTE,Alloyed steel,Y,2,3,True,-658059.2,-658059.2,-658059.2,-658059.2,,,-658059.2,-1316118.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,HK,Honk-Kong,N,2,23,P4104,AS bars rolled,N,1,24,True,-658059.2,-658059.2,-658059.2,-658059.2,,,-658059.2,-1316118.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,HK,Honk-Kong,N,2,23,PFSTE,Free cutting steel,Y,2,73,True,-560114.9320568,-560114.9320568,-560114.9320568,,,,,,,,,,,,,,,,,,,,,,-560114.9320568,,,-317845.7560784,-635691.5121568,,-242269.1759784,,-484538.3519568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,HK,Honk-Kong,N,2,23,P2106,FS bright bars,N,1,94,True,-242269.1759784,-242269.1759784,-242269.1759784,,,,,,,,,,,,,,,,,,,,,,-242269.1759784,,,,,,-242269.1759784,,-484538.3519568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,HK,Honk-Kong,N,2,23,P2112,FS ETG,N,1,104,True,-317845.7560784,-317845.7560784,-317845.7560784,,,,,,,,,,,,,,,,,,,,,,-317845.7560784,,,-317845.7560784,-635691.5121568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,HK,Honk-Kong,N,2,23,PTOOSTE,Tool Steel,Y,3,302,True,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,HK,Honk-Kong,N,2,23,P3103,TS bars forged,N,2,318,True,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,HK,Honk-Kong,N,2,23,P3104,TS bars rolled,N,2,323,True,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,ID,Indonesia,N,2,28,PTOT,Total,Y,5,0,True,-452973.94420920004,-452973.94420920004,-452973.94420920004,-433787.24000000005,,,-433787.24000000005,-867574.4800000001,,,,,,,,,,,,,,,,,-19186.7042092,,,-19186.7042092,-38373.4084184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,ID,Indonesia,N,2,28,PALL,All Products,Y,4,1,True,-452973.94420920004,-452973.94420920004,-452973.94420920004,-433787.24000000005,,,-433787.24000000005,-867574.4800000001,,,,,,,,,,,,,,,,,-19186.7042092,,,-19186.7042092,-38373.4084184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,ID,Indonesia,N,2,28,PENGSTE,Engineering Steel,Y,3,2,True,-19186.7042092,-19186.7042092,-19186.7042092,,,,,,,,,,,,,,,,,,,,,,-19186.7042092,,,-19186.7042092,-38373.4084184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,ID,Indonesia,N,2,28,PFSTE,Free cutting steel,Y,2,73,True,-19186.7042092,-19186.7042092,-19186.7042092,,,,,,,,,,,,,,,,,,,,,,-19186.7042092,,,-19186.7042092,-38373.4084184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31101020,Gross Sales - Fixed price,N,2,4,ID,Indonesia,N,2,28,P2112,FS ETG,N,1,104,True,-19186.7042092,-19186.7042092,-19186.7042092,,,,,,,,,,,,,,,,,,,,,,-19186.7042092,,,-19186.7042092,-38373.4084184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
