entity_h3_id,,,,,,,,,,,,,,,,DN0000,DN0001,DN1000,DN1100,4020,4050,DN1140,4070,4080,DN1200,2200,DN1300,6000,6100,6200,6210,DN1400,DN1410,7000,7020,7060,7070,DN1420,7100,DN1500,1270,1600,DN1510,2300,2340,DN1530,1250,1360,DN1600,6510,6520,6530,6540,DN2000,DN2020,DN2200,1220,1330,1390,6620,DN2210,1240,DN2220,1460,1470,DN2230,1020,DN2300,1230,1280,1300,1340,DN2310,1290,1350,1430,DN2320,1310,1320,DN2400,4220,4530,4540,4550,DN2410,4230,4290,6600,DN2420,4260,4400,DN2500,4110,4210,4240,4300,4350,4500,4510,4520,DN2600,1380,4100,4270
entity_h3_long_desc,,,,,,,,,,,,,,,,S+B Group,Continuing Operations,Production,DEW,4020 - DEW Härterei Technik GmbH (DE),4050 - dhi Rohstoffmanagement GmbH (DE),DEW 4000,4070 - DEW Speciality Steel GmbH & Co. KG (DE),4080 - DEW Sales GmbH & Co. KG (DE),Swiss Steel,2200 - Swiss Steel AG (CH),Ugitech,6000 - Ugitech S.A. (FR),6100 - Sprint Metal Edelstahlziehereien GmbH (DE),6200 - Ugitech Italia S.r.l (IT),6210 - Ugitech TFA S.r.l. (IT),Finkl Steel,Finkl,7000 - Finkl Steel - Chicago (US),7020 - Finkl Steel - Houston| LLC (US),7060 - Finkl De Mexico S de R.L. de C.V. (MX),7070 - Composite Forgings LLC (US),Sorel,7100 - Finkl Steel - Sorel (CA),Steeltec,1270 - Steeltec Celik A.S. (TR),1600 - Steeltec GmbH (DE),Steeltec TK,2300 - Steeltec AG (CH),2340 - Ugitech Suisse S.A. (CH),Scandinavia,1250 - Steeltec A/S (DK),1360 - Steeltec Boxholm AB (SE),Ascometal,6510 - Ascometal Hagondange S.A.S. (FR),6520 - Ascometal Les Dunes S.A.S. (FR),6530 - Ascometal Custines - Le Marais S.A.S. (FR),6540 - Ascometal Fos-sur-Mer S.A.S. (FR),Sales & Services,Sales & Services International,Western Europe,1220 - S+B Iberica S.A. (ES),1330 - S+B UK Ltd. (UK),1390 - S+B Portugal S.A. (PT),6620 - Ascometal Iberica S.L. (ES),Sales & Services France,1240 - S+B France S.A.S. (FR),S&S Italy,1460 - S+B Italia S.r.l. (IT),1470 - S+B Acciai Speciali S.r.l. (IT),Sales & Services Germany,1020 - S+B Deutschland GmbH (DE),Central and Eastern Europe,1230 - S+B Polska Sp.z o.o. (PL),1280 - S+B Romania SRL (RO),1300 - S+B Magyarország Kft. Budapest (HU),1340 - S+B Oy (FI),S&S Baltic,1290 - S+B Baltic OÜ (EE),1350 - S+B Baltic UAB (LT),1430 - S+B Baltic SIA (LV),S&S Czeck & Slovakia,1310 - S+B s.r.o. (CZ),1320 - S+B Slovakia s.r.o. (SK),Americas,4220 - S+B do Brasil Indústria e Comércio de Acos Ltda. (BR),4530 - S+B Chile SpA (CL),4540 - S+B Argentina SAU (AR),4550 S+B Colombia S.A.S. (CO),S&S North America,4230 - S+B Canada Inc. (CA),4290 - S+B USA Inc. (US),6600 - Ascometal North America Inc. (US),S&S Mexico,4260 - S+B Mexico S.A. de C.V. (MX),4400 - Alta Tecnologia en Tratamientos S.A. de C.V. (MX),Asia - Pacific,4110 - S+B India Pvt. Ltd. (IN),4210 - S+B Australia Pty. Ltd. (AU),4240 - S+B Singapore Pte. Ltd. (SG),4300 - S-B Hong Kong Co. Ltd. (HK),4350 - Shanghai Xinzhen Precision Metalwork Co. Ltd.(CN),4500 - Schmolz Bickenbach Japan Co. Ltd. (JP),4510 - Schmolz-Bickenbach (Thailand) Ltd. (TH),4520 - Schmolz+Bickenbach Taiwan Ltd. (TW),Rest of the world,1380 - S+B Russia OOO (RU),4100 - S+B Middle East FZCO (AE),4270 - S+B South Africa (Pty.) Ltd. (ZA)
account_h4_id,account_h4_long_desc,account_h4_calc,account_h4_level,account_h4_sequence,country_h1_id,country_h1_long_desc,country_h1_calc,country_h1_level,country_h1_sequence,product_h1_id,product_h1_long_desc,product_h1_calc,product_h1_level,product_h1_sequence,row_calc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31100000,Gross Sales,Y,3,0,CTOT,Total,Y,5,0,PTOT,Total,Y,5,0,True,-1706998583.216286,-1706998583.216286,-1354881793.9154058,-546172788.6799998,-19643395.919999998,-13219744.80000003,-535218408.4399998,-1070436816.8799996,0.0,-143466065.9831059,-430398197.9493177,-285282729.57,-702793663.2,-31671756.119999997,-78057504.41999999,-43325264.97,-96551279.6650722,-59016933.471207805,-88921670.0598378,-7608157.8090146,-5261563.6460236,-16242475.4275396,-37534346.1938644,-75068692.3877288,-59121106.8372282,-29490152.7126057,-50260015.38000001,-20940773.7873876,-26768105.084205594,-15113442.4905696,-11596943.6856387,-6976710.757706601,-16217176.6135708,-224287823.18,-190005774.24,-156929504.01,-118511673.26999998,-207416518.02,-352116789.30088043,-352116789.30088043,-123701564.59216869,-17862337.82,-24916346.124337405,-5680593.000000001,-304309.08,-22761705.909999996,-22761705.909999996,-19613173.48,-17649269.43,-1963904.05,-56944892.19,-56944892.19,-66318454.2309453,-38686106.7109122,-3027869.9552889997,-9094781.1420698,-9395477.6,-6625606.09,-2423110.23,-2786634.77,-1415861.0899999999,-29590730.436809797,-21408159.806809798,-8182570.63,-122671120.8102438,-18041247.4717386,-553591.4422838,-193171.5209538,0.0,-107093112.4769395,-15174694.0900825,-75268445.7210637,-16649972.6657933,-6184003.1158162,-5500006.1962255,-683996.9195907,-31450610.17013059,-14254270.827244598,-2753981.5851981994,-1020635.4553388001,-37229433.776194796,-7632827.231796,7.27595761418342e-12,0.0,-10071.4644888,-7975039.4973919,-5697495.0276395995,-3679176.2049354,-6573407.7622088
31100000,Gross Sales,Y,3,0,CTOT,Total,Y,5,0,PALL,All Products,Y,4,1,True,-1706818732.0512476,-1706818732.0512476,-1354881793.9154058,-546172788.6799998,-19643395.919999998,-13219744.80000003,-535218408.4399998,-1070436816.8799996,0.0,-143466065.9831059,-430398197.9493177,-285282729.57,-702793663.2,-31671756.119999997,-78057504.41999999,-43325264.97,-96551279.6650722,-59016933.471207805,-88921670.0598378,-7608157.8090146,-5261563.6460236,-16242475.4275396,-37534346.1938644,-75068692.3877288,-59121106.8372282,-29490152.7126057,-50260015.38000001,-20940773.7873876,-26768105.084205594,-15113442.4905696,-11596943.6856387,-6976710.757706601,-16217176.6135708,-224287823.18,-190005774.24,-156929504.01,-118511673.26999998,-207416518.02,-351936938.1358416,-351936938.1358416,-123546432.1221687,-17862337.82,-24916346.124337405,-5676901.980000001,,-22761705.909999996,-22761705.909999996,-19612041.06,-17649269.43,-1962771.6300000001,-56944892.19,-56944892.19,-66299892.0936475,-38649223.936316594,-3027869.9552889997,-9094781.1420698,-9395477.6,-6625485.34,-2422989.48,-2786634.77,-1415861.0899999999,-29590730.436809797,-21408159.806809798,-8182570.63,-122671120.8102438,-18041247.4717386,-553591.4422838,-193171.5209538,,-107093112.4769395,-15174694.0900825,-75268445.7210637,-16649972.6657933,-6184003.1158162,-5500006.1962255,-683996.9195907,-31450610.17013059,-14254270.827244598,-2753981.5851981994,-1020635.4553388001,-37229433.776194796,-7632827.231796,,,-10071.4644888,-7968882.939650999,-5697495.0276395995,-3679176.2049354,-6561094.646726999
31100000,Gross Sales,Y,3,0,CTOT,Total,Y,5,0,PENGSTE,Engineering Steel,Y,3,2,True,-831695309.1392787,-831695309.1392787,-705226146.7227952,-249693753.70000002,,,-249693753.70000002,-499387507.40000004,0.0,-141670034.1868991,-425010102.5606973,,,,,,-47997297.8129082,-35426845.1838445,-43387501.026803,-7525984.6333604,-5261563.6460236,-14678641.061502,-12570452.6290637,-25140905.2581274,-45465233.612987906,-20548385.6082528,-43854782.580000006,-13138407.444792597,-26276814.889585193,,-10859103.4387777,-5800293.561022202,-15917913.3165332,-220399827.41000003,-189691403.22,-149936597.52,-115121411.91,-206450069.57999998,-126469162.41648372,-126469162.41648372,-63872520.8439448,-4647696.02,-1388963.5278896,-772836.0800000001,,-12868747.389999999,-12868747.389999999,-7459316.01,-7442436.06,-16879.95,-40139709.63,-40139709.63,-41956955.4697269,-22325222.0673844,-645396.3514422,-4993710.251509001,-8741260.0,-2437516.1799999997,-977800.2799999999,-815065.1199999999,-644650.7799999999,-21166644.9545591,-13214075.4145591,-7952569.54,-19001846.0697323,,-275.9176526,,,-18479977.0625047,-209889.5806507,-1620114.8160607,-16649972.6657933,-521731.0484013,-521731.0484013,,-992799.8426329999,-1560573.7348179999,-286932.1165146,-101043.925124,-37049.9088094,,,,,-645040.1904467,-238587.91740500001,-740777.911124,-310714.55236439995
31100000,Gross Sales,Y,3,0,CTOT,Total,Y,5,0,PASTE,Alloyed steel,Y,2,3,True,-567502291.9945226,-567502291.9945226,-522969610.49842036,-212017858.7,,,-212017858.7,-424035717.4,0.0,-37283812.8530698,-111851438.55920939,,,,,,-46000605.7033589,-33430153.0742952,-43387501.026803,-7525984.6333604,-5261563.6460236,-10685256.8424034,-12570452.6290637,-25140905.2581274,-7267505.8319916,-850709.7575169001,-14797526.129999999,-565707.3438524,-1131414.6877048,,-1485719.8589669,-939367.4455738,-2032072.2723599998,-220399827.41000003,-189691403.22,-149936597.52,-115121411.91,-206450069.57999998,-44532681.4961022,-44532681.4961022,-12864451.4279622,-1311343.6,-527286.9559243999,-202163.78,,-2437905.8,-2437905.8,-464896.43999999994,-448016.48999999993,-16879.95,-8941252.020000001,-8941252.020000001,-11822631.653965,-1312687.8882930002,-386654.43732060003,-872792.066055,-7892974.0,-419386.86000000004,-288974.36000000004,-56657.98999999999,-73754.51,-6170690.5981307,-3745660.0081307003,-2425030.59,-18839213.7360567,,-275.9176526,,,-18479977.0625047,-209889.5806507,-1620114.8160607,-16649972.6657933,-359098.7147257,-359098.7147257,,-437660.36378460005,-454744.6448376,-282635.3294162,-101043.925124,-36896.8281914,,,,,-568724.3143337,-85956.165179,-740777.911124,-310714.55236439995
31100000,Gross Sales,Y,3,0,CTOT,Total,Y,5,0,P4100,AS ingots,N,1,4,True,-2310987.4889996997,-2310987.4889996997,-2310987.4889996997,-119884.44,,,-119884.44,-239768.88,0.0,,,,,,,,-2181272.7489997,-2181272.7489997,-4362545.4979994,,,,,,,,,,,,,,,-9830.3,,-29490.899999999998,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31100000,Gross Sales,Y,3,0,CTOT,Total,Y,5,0,P4101,AS billets,N,1,9,True,-19839517.0300695,-19839517.0300695,-19768703.6955783,-16728338.69,,,-16728338.69,-33456677.38,0.0,-3040365.0055783,-9121095.0167349,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70813.3344912,-70813.3344912,,,,,,,,,,,,,-70813.3344912,,,,,,,,,-70813.3344912,-70813.3344912,,,,,,,,,,,,,,,,,,,,,,,,,,
31100000,Gross Sales,Y,3,0,CTOT,Total,Y,5,0,P4102,AS semis,N,1,14,True,-18340795.499033,-18340795.499033,-18318948.91,-16025331.0,,,-16025331.0,-32050662.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-2293617.91,-601657.3200000001,-6279196.41,,,-21846.589033,-21846.589033,,,,,,,,,,,,,-21846.589033,,,-2971.578066,,-20360.8,-19191.2,-1169.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31100000,Gross Sales,Y,3,0,CTOT,Total,Y,5,0,P4103,AS bars forged,N,1,19,True,-46116421.5205939,-46116421.5205939,-45183570.846205205,-6691837.319999999,,,-6691837.319999999,-13383674.639999999,0.0,,,,,,,,-38476704.5331575,-25906251.904093802,-39024955.5288036,-7525984.6333604,-5261563.6460236,,-12570452.6290637,-25140905.2581274,-15028.993047699998,,,,,,-15028.993047699998,-13608.1396782,-16449.8464172,,,,,,-932850.6743887,-932850.6743887,-34774.0500147,-9578.88,2913.2799706,-39393.96,,-1427.0,-1427.0,,,,-10317.27,-10317.27,-898076.624374,-62432.105555199996,-26675.9954446,-2715.5549696,-1077228.0,-4018.96,-2598.4,-1420.56,,-309531.8363893,-299737.2563893,-9794.58,,,,,,,,,,,,,,,,,,,,,,,,,
31100000,Gross Sales,Y,3,0,CTOT,Total,Y,5,0,P4104,AS bars rolled,N,1,24,True,-275809342.9913881,-275809342.9913881,-249202094.9617229,-105987226.82000001,,,-105987226.82000001,-211974453.64000002,0.0,-13731048.345109798,-41193145.035329394,,,,,,,,,,,,,,-1165117.7066131001,-57431.3278401,-1411330.98,-29785.8382475,-59571.676495,,-645744.4324189,-553756.8330752,-737732.0317626,-128318702.09,-187779688.44,-139387029.93,-57789387.900000006,0.0,-26607248.029665194,-26607248.029665194,-2289201.333094,-965452.8200000001,-99860.066188,-118826.22,,-1179648.0499999998,-1179648.0499999998,-16879.95,,-16879.95,-500603.78,-500603.78,-7135490.979808199,-1004927.8433638001,-296571.0266576,-518546.3393066,-3099276.0,-345709.48,-234640.63,-49560.74,-61508.11,-4330120.8951442,-2335163.4251442,-1994957.47,-16297056.421585698,,-275.9176526,,,-16233730.239128798,-197282.6591974,-560942.9239104,-15475504.656020999,-63188.2236306,-63188.2236306,,-366694.1380278,-413856.118448,-282635.3294162,,-36896.8281914,,,,,-518805.1571495,,-740777.911124,-296832.403175
